car_id,model,car_type,fuel_type,car_rating,year_to_start,riders,year_to_work,target_class,days_before_accident
y13744087j,Kia Rio X-line,economy,petrol,3.78,2015,76163,2021,another_bug,94
O41613818T,VW Polo VI,economy,petrol,3.9,2015,78218,2021,electro_bug,26
d-2109686j,Renault Sandero,standart,petrol,6.3,2012,23340,2017,gear_stick,15
u29695600e,Mercedes-Benz GLC,business,petrol,4.04,2011,1263,2020,engine_fuel,13
N-8915870N,Renault Sandero,standart,petrol,4.7,2012,26428,2017,engine_fuel,8
b12101843B,Skoda Rapid,economy,petrol,2.36,2013,42176,2018,engine_ignition,50
Q-9368117S,Nissan Qashqai,standart,petrol,5.32,2012,24611,2014,engine_overheat,35
O-2124190y,Tesla Model 3,premium,electro,3.9,2017,116872,2019,gear_stick,268
h16895544p,Kia Sportage,standart,petrol,3.5,2014,56384,2017,gear_stick,18
K77009462l,Smart ForFour,economy,petrol,4.56,2013,41309,2018,gear_stick,41
s45684436W,VW Polo,economy,petrol,2.14,2012,22590,2018,engine_check,37
E-7624014J,VW Polo VI,economy,petrol,5.0,2011,919,2017,electro_bug,32
I49569137x,Kia Rio,economy,petrol,3.92,2015,73646,2018,engine_check,32
f20619972B,Skoda Rapid,economy,petrol,4.02,2016,104165,2019,engine_check,45
N18554472N,Smart Coupe,economy,petrol,5.42,2017,117210,2019,engine_check,165
O-2225875m,VW Tiguan,economy,petrol,5.64,2016,109471,2019,wheel_shake,8
B11433908y,VW Tiguan,economy,petrol,5.16,2014,58987,2021,engine_fuel,4
K20059604P,Skoda Rapid,economy,petrol,3.54,2016,101495,2016,electro_bug,23
D10115495S,Smart ForTwo,economy,petrol,5.02,2016,108995,2018,gear_stick,41
s-2136281x,Smart ForTwo,economy,petrol,5.08,2016,95935,2014,engine_fuel,12
z72983842Y,Kia Rio X,economy,petrol,4.7,2013,41150,2021,gear_stick,4
s-1094161i,Mercedes-Benz E200,business,petrol,5.32,2011,1299,2019,engine_overheat,48
Z-1155909A,Nissan Qashqai,standart,petrol,4.62,2013,40025,2020,engine_overheat,41
Z-1196295K,Smart ForTwo,economy,petrol,4.54,2016,115037,2019,engine_overheat,8
i31421704Y,Renault Kaptur,standart,petrol,5.34,2013,51207,2017,engine_check,33
t10463236f,Mini Cooper,business,petrol,3.84,2014,58789,2022,engine_ignition,99
v13404305i,Kia Sportage,standart,petrol,2.7,2014,60017,2020,break_bug,31
m20203244V,Kia Rio,economy,petrol,2.96,2014,65703,2016,engine_overheat,21
k-1015732Y,Nissan Qashqai,standart,petrol,5.42,2012,20276,2016,engine_overheat,7
m-8965256V,VW Tiguan,economy,petrol,4.9,2017,114576,2019,engine_ignition,82
U13022243O,Renault Sandero,standart,petrol,3.8,2011,3028,2021,electro_bug,20
j12330862q,Hyundai Solaris,economy,petrol,3.86,2014,58610,2017,gear_stick,17
C-5320082T,Kia Rio X,economy,petrol,4.36,2013,47354,2020,electro_bug,41
s17672064L,Smart ForTwo,economy,petrol,3.18,2016,96361,2020,gear_stick,13
d19359573S,Smart ForTwo,economy,petrol,2.78,2015,93180,2017,engine_overheat,17
O22361854N,VW Polo VI,economy,petrol,2.52,2011,5500,2018,engine_overheat,26
i-1479300M,Skoda Rapid,economy,petrol,4.88,2017,137213,2019,another_bug,51
L60286103R,VW Polo VI,economy,petrol,3.88,2012,25173,2018,break_bug,51
p26377723i,Hyundai Solaris,economy,petrol,4.1,2013,40281,2019,break_bug,17
W-1512641W,Renault Kaptur,standart,petrol,5.4,2013,47719,2018,engine_overheat,9
y-3838245t,Kia Sportage,standart,petrol,4.7,2015,84786,2021,engine_overheat,20
b-2719977Z,Kia Rio X,economy,petrol,4.5,2014,65491,2020,another_bug,24
D-2109758O,VW Tiguan,economy,petrol,5.1,2015,88451,2020,engine_fuel,3
M89853598O,Kia Rio X,economy,petrol,3.82,2012,18403,2018,engine_overheat,31
z34396656x,Nissan Qashqai,standart,petrol,4.12,2011,251,2015,engine_ignition,69
S19803153J,Hyundai Solaris,economy,petrol,5.26,2012,28216,2015,another_bug,18
y35650754l,VW Tiguan,economy,petrol,4.48,2016,105035,2018,wheel_shake,41
U-1719392C,Skoda Rapid,economy,petrol,5.56,2016,94354,2021,engine_overheat,17
Q12359942h,Kia Rio,economy,petrol,3.62,2014,58269,2019,electro_bug,26
F-2082660j,Kia Rio X,economy,petrol,4.58,2011,4083,2016,engine_ignition,32
C15164392z,Skoda Rapid,economy,petrol,3.34,2016,93681,2014,electro_bug,32
A-6969550V,Smart ForFour,economy,petrol,4.98,2016,106858,2014,engine_overheat,11
H21489304G,Renault Kaptur,standart,petrol,4.56,2012,22533,2020,another_bug,34
Y-4731644Z,Kia Rio X,economy,petrol,5.7,2013,48487,2019,electro_bug,29
Y-1002609O,Renault Kaptur,standart,petrol,5.8,2012,21154,2018,gear_stick,10
q11941907L,Skoda Rapid,economy,petrol,3.46,2017,111468,2017,engine_ignition,178
W17831606Y,Hyundai Solaris,economy,petrol,3.22,2014,55735,2016,another_bug,48
u-1788771U,VW Polo,economy,petrol,4.54,2012,19239,2018,engine_fuel,7
F-1257166O,Kia Rio X,economy,petrol,5.12,2012,19918,2015,engine_overheat,16
k82740809C,Renault Sandero,standart,petrol,4.68,2014,59221,2015,engine_fuel,11
A13746070T,Renault Sandero,standart,petrol,3.36,2011,6019,2021,break_bug,11
E-1356165C,Kia Sportage,standart,petrol,3.72,2015,75739,2016,break_bug,24
w-1247670S,Nissan Qashqai,standart,petrol,5.18,2013,44612,2016,engine_overheat,57
t11173721p,Kia Rio X,economy,petrol,4.62,2014,56626,2018,engine_overheat,17
i-1340626g,Smart ForTwo,economy,petrol,5.84,2013,38431,2020,electro_bug,27
G11530237Q,VW Polo VI,economy,petrol,4.62,2015,87418,2019,engine_fuel,4
z-1854947J,Smart Coupe,economy,petrol,4.86,2014,63075,2020,another_bug,47
G-1102710u,VW Polo,economy,petrol,4.52,2011,8768,2020,electro_bug,9
